Name,Team,W,L,GS,IP,K/9,BB/9,GB%,SV,ERA,FIP,WAR,id
Brandon Lyon,- - -,4,2,0,61,9.3,2.95,37.50%,1,3.1,3.23,0.8,206
Cristhian Martinez,Braves,5,4,0,73.2,7.94,2.32,46.20%,1,3.91,3.16,0.7,207
Justin Germano,- - -,2,10,12,69.2,6.72,2.71,45.70%,0,6.2,4.11,0.7,208
Eric O'Flaherty,Braves,3,0,0,57.1,7.22,2.98,66.00%,0,1.73,3.27,0.7,209
Phil Coke,Tigers,2,3,0,54,8.5,3,48.80%,1,4,3.47,0.7,210
Adam Ottavino,Rockies,5,1,0,79,9.23,3.87,47.90%,0,4.56,3.85,0.7,211
Franklin Morales,Red Sox,3,4,9,76.1,8.96,3.54,39.60%,1,3.77,4.39,0.7,212
Zach Britton,Orioles,5,3,11,60.1,7.91,4.77,60.80%,0,5.07,4.32,0.7,213
James Russell,Cubs,7,1,0,69.1,7.14,2.99,37.40%,2,3.25,3.48,0.7,214
Joe Smith,Indians,7,4,0,67,7.12,3.36,58.00%,0,2.96,3.5,0.7,215
Dale Thayer,Padres,2,2,0,57.2,7.34,1.87,41.20%,7,3.43,3.04,0.7,216
Will Smith,Royals,6,9,16,89.2,5.92,3.31,42.00%,0,5.32,4.66,0.7,217
Ryan Webb,Marlins,4,3,0,60.1,6.56,2.98,51.70%,0,4.03,3.26,0.7,218
Mitchell Boggs,Cardinals,4,1,0,73.1,7.12,2.58,52.70%,0,2.21,3.42,0.7,219
Travis Wood,Cubs,6,13,26,156,6.87,3.12,34.30%,0,4.27,4.84,0.7,220
Freddy Garcia,Yankees,7,6,17,107.1,7.46,2.93,40.20%,0,5.2,4.68,0.7,221
Antonio Bastardo,Phillies,2,5,0,52,14.02,4.5,27.70%,1,4.33,3.34,0.7,222
Carl Pavano,Twins,2,5,11,63,4.71,1.14,41.20%,0,6,4.38,0.6,223
Boone Logan,Yankees,7,2,0,55.1,11.06,4.55,38.40%,1,3.74,3.67,0.6,224
Alfredo Simon,Reds,3,2,0,61,7.67,3.25,54.10%,1,2.66,3.19,0.6,225
Corey Kluber,Indians,2,5,12,63,7.71,2.57,44.80%,0,5.14,4.29,0.6,226
Wade LeBlanc,Marlins,2,5,9,68.2,5.64,2.49,34.40%,0,3.67,4.04,0.6,227
Anthony Bass,Padres,2,8,15,97,7.42,3.62,48.20%,1,4.73,4.02,0.6,228
Carlos Villanueva,Blue Jays,7,7,16,125.1,8.76,3.3,36.70%,0,4.16,4.71,0.6,229
Drew Hutchison,Blue Jays,5,3,11,58.2,7.52,3.07,44.60%,0,4.6,4.48,0.6,230
Shawn Camp,Cubs,3,6,0,77.2,6.26,2.43,47.40%,2,3.59,3.69,0.6,231
Ernesto Frieri,- - -,5,2,0,66,13.36,4.09,26.30%,23,2.32,3.58,0.6,232
Luke Gregerson,Padres,2,0,0,71.2,9.04,2.64,50.30%,9,2.39,3.36,0.5,233
Alex White,Rockies,2,9,20,98,5.88,4.68,54.10%,0,5.51,5.23,0.5,234
Wesley Wright,Astros,2,2,0,52.1,9.29,2.92,54.90%,1,3.27,3.34,0.5,235
Chris Young,Mets,4,9,20,115,6.26,2.82,22.30%,0,4.15,4.5,0.5,236
Randy Wolf,- - -,5,10,26,157.2,5.94,2.97,42.90%,0,5.65,4.79,0.5,237
Carlos Torres,Rockies,5,3,0,53,7.13,4.42,43.80%,0,5.26,3.7,0.5,238
Ricky Romero,Blue Jays,9,14,32,181,6.17,5.22,53.50%,0,5.77,5.14,0.5,239
Jose Veras,Brewers,5,4,0,67,10.61,5.37,43.80%,1,3.63,3.59,0.5,240
Edward Mujica,- - -,0,3,0,65.1,6.47,1.65,50.50%,2,3.03,3.65,0.5,241
Brad Lincoln,- - -,5,2,5,88,9,2.45,40.00%,1,3.68,4.02,0.5,242
Henderson Alvarez,Blue Jays,9,14,31,187.1,3.8,2.59,57.00%,0,4.85,5.18,0.5,243
Jhoulys Chacin,Rockies,3,5,14,69,5.87,4.17,38.50%,0,4.43,5.15,0.5,244
Jamey Wright,Dodgers,5,3,0,67.2,7.18,3.99,67.30%,0,3.72,3.39,0.5,245
Charlie Morton,Pirates,2,6,9,50.1,4.47,1.97,56.50%,0,4.65,4.17,0.4,246
Heath Bell,Marlins,4,5,0,63.2,8.34,4.1,46.90%,19,5.09,3.72,0.4,247
Cole DeVries,Twins,5,5,16,87.2,5.95,1.85,31.00%,0,4.11,4.9,0.4,248
Manny Parra,Brewers,2,3,0,58.2,9.36,5.37,49.10%,0,5.06,3.62,0.4,249
Burke Badenhop,Rays,3,2,0,62.1,6.06,1.73,52.90%,0,3.03,3.62,0.4,250
Francisco Rodriguez,Brewers,2,7,0,72,9,3.88,41.70%,3,4.38,3.83,0.4,251
Alfredo Aceves,Red Sox,2,10,0,84,8.04,3.32,37.00%,25,5.36,4.33,0.4,252
Fernando Salas,Cardinals,1,4,0,58.2,9.2,4.14,38.30%,0,4.3,3.59,0.4,253
Bryan Shaw,Diamondbacks,1,6,0,59.1,6.22,3.64,56.40%,2,3.49,3.9,0.4,254
John Danks,White Sox,3,4,9,53.2,5.03,3.86,41.20%,0,5.7,5.01,0.3,255
Tyler Chatwood,Rockies,5,6,12,64.2,5.71,4.59,56.30%,1,5.43,5.17,0.3,256
Jonny Venters,Braves,5,4,0,58.2,10.59,4.3,62.80%,0,3.22,3.76,0.3,257
Alex Burnett,Twins,4,4,0,71.2,4.52,3.27,52.10%,0,3.52,4.03,0.3,258
Tony Watson,Pirates,5,2,0,53.1,8.94,3.88,40.30%,0,3.38,3.68,0.3,259
Jacob Turner,- - -,2,5,10,55,5.89,2.62,45.20%,0,4.42,4.79,0.3,260
Tyson Ross,Athletics,2,11,13,73.1,5.65,4.54,49.60%,0,6.5,4.8,0.3,261
Chad Gaudin,Marlins,4,2,0,69.1,7.4,3.38,40.80%,0,4.54,3.83,0.3,262
Garrett Richards,Angels,4,3,9,71,5.96,4.31,45.50%,1,4.69,4.62,0.3,263
Blake Beavan,Mariners,11,11,26,152.1,3.96,1.42,36.60%,0,4.43,4.85,0.3,264
Jordan Norberto,Athletics,4,1,0,52,7.96,3.81,45.70%,1,2.77,3.9,0.3,265
Steve Delabar,- - -,4,3,0,66,12.55,3.55,42.90%,0,3.82,4.08,0.2,266
Tom Gorzelanny,Nationals,4,2,1,72,7.75,3.75,42.90%,1,2.88,3.97,0.2,267
Carlos Marmol,Cubs,3,3,0,55.1,11.71,7.32,40.60%,20,3.42,3.98,0.2,268
Ubaldo Jimenez,Indians,9,17,31,176.2,7.28,4.84,38.40%,0,5.4,5.06,0.2,269
Joaquin Benoit,Tigers,5,3,0,71,10.65,2.79,35.80%,2,3.68,4.26,0.2,270
